location,scan_data
x1y1,"{""ESP32_3"": -56, ""ESP32_4"": -58, ""ESP32_1"": -71, ""ESP32_2"": -75}"
x1y1,"{""ESP32_3"": -56, ""ESP32_4"": -59, ""ESP32_1"": -67, ""ESP32_2"": -74}"
x1y1,"{""ESP32_3"": -55, ""ESP32_4"": -59, ""ESP32_2"": -73, ""ESP32_1"": -74}"
x1y1,"{""ESP32_3"": -54, ""ESP32_4"": -60, ""ESP32_1"": -64, ""ESP32_2"": -74}"
x1y1,"{""ESP32_3"": -56, ""ESP32_4"": -63, ""ESP32_1"": -67, ""ESP32_2"": -74}"
x1y1,"{""ESP32_3"": -51, ""ESP32_4"": -63, ""ESP32_1"": -64, ""ESP32_2"": -78}"
x1y1,"{""ESP32_3"": -54, ""ESP32_4"": -65, ""ESP32_1"": -69, ""ESP32_2"": -78}"
x1y1,"{""ESP32_3"": -55, ""ESP32_4"": -66, ""ESP32_1"": -67, ""ESP32_2"": -76}"
x1y1,"{""ESP32_3"": -56, ""ESP32_4"": -61, ""ESP32_1"": -66, ""ESP32_2"": -74}"
x1y1,"{""ESP32_3"": -58, ""ESP32_4"": -59, ""ESP32_1"": -67, ""ESP32_2"": -72}"
x1y1,"{""ESP32_3"": -56, ""ESP32_4"": -64, ""ESP32_1"": -69, ""ESP32_2"": -80}"
x1y1,"{""ESP32_4"": -55, ""ESP32_3"": -57, ""ESP32_1"": -69, ""ESP32_2"": -76}"
x1y1,"{""ESP32_3"": -57, ""ESP32_4"": -63, ""ESP32_1"": -67, ""ESP32_2"": -76}"
x1y1,"{""ESP32_3"": -57, ""ESP32_4"": -66, ""ESP32_1"": -68, ""ESP32_2"": -73}"
x1y1,"{""ESP32_4"": -57, ""ESP32_3"": -61, ""ESP32_1"": -66, ""ESP32_2"": -84}"
x1y1,"{""ESP32_3"": -56, ""ESP32_4"": -57, ""ESP32_1"": -64, ""ESP32_2"": -74}"
x2y2,"{""ESP32_1"": -52, ""ESP32_2"": -57, ""ESP32_4"": -58, ""ESP32_3"": -60}"
x2y2,"{""ESP32_1"": -50, ""ESP32_2"": -58, ""ESP32_4"": -58, ""ESP32_3"": -62}"
x2y2,"{""ESP32_1"": -49, ""ESP32_2"": -56, ""ESP32_4"": -58, ""ESP32_3"": -58}"
x2y2,"{""ESP32_1"": -57, ""ESP32_4"": -58, ""ESP32_2"": -61, ""ESP32_3"": -62}"
